,business_id,name,state,avgstar
504,161984,Burger King Restaurant,AB,2.25
508,187385,KFC,AB,1.0
512,105525,Dairy Queen,AB,3.25
516,111473,Dairy Queen,AB,4.75
520,137883,McDonald's,AB,1.818181818181818
531,132981,KFC,AB,2.0
534,46772,KFC,AB,2.142857142857143
541,172925,Wendy's,AB,3.75
545,113211,McDonald's,AB,2.833333333333333
551,73583,Wendy's,AB,2.0
554,173361,DQ Grill & Chill Restaurant,AB,2.6666666666666665
557,159442,DQ Grill & Chill Restaurant,AB,3.6666666666666665
560,179565,Popeyes Louisiana Kitchen,AB,2.6
565,115913,Dairy Queen Grill & Chill,AB,3.8571428571428568
572,59138,DQ Grill & Chill Restaurant,AB,2.5
576,18462,Five Guys,AB,3.9090909090909087
598,174616,McDonald's,AB,3.0
603,103111,Five Guys,AB,3.8684210526315783
641,125653,KFC,AB,2.333333333333333
644,19029,KFC,AB,2.0
647,114103,McDonald's,AB,2.0
655,162457,McDonalds,AB,1.75
659,111775,KFC,AB,2.6
664,87016,Five Guys,AZ,3.3043478260869565
687,97282,KFC,AZ,1.64
712,84766,McDonald's,AZ,3.75
716,85832,McDonald's,AZ,1.4285714285714286
723,192204,McDonald's,AZ,1.8888888888888888
768,176899,Jack in the Box,AZ,1.6666666666666667
774,24213,Burger King,AZ,1.5555555555555556
783,14018,Burger King,AZ,2.2142857142857144
797,18105,Burger King,AZ,2.5
801,21561,McDonald's,AZ,1.206896551724138
830,159483,Wendy's,AZ,1.6363636363636365
841,87307,Five Guys,AZ,3.425287356321839
928,161856,Sonic Drive-In,AZ,2.7575757575757582
961,127895,Dairy Queen,AZ,2.607142857142857
989,167313,Sonic Drive-In,AZ,1.9629629629629632
1016,178553,McDonalds,AZ,2.1666666666666665
1022,15894,Arby's Roast Beef,AZ,2.6666666666666665
1025,25526,Wendy's Old Fashioned Hamburgers,AZ,2.571428571428572
1032,82734,McDonald's,AZ,2.9047619047619047
1053,164013,Dairy Queen/Orange Julius,AZ,1.6857142857142855
1088,143512,Sonic Drive-In,AZ,2.84
1113,186962,Burger King,AZ,1.9230769230769231
1126,175909,Jack in the Box,AZ,2.4
1141,51219,McDonald's,AZ,4.0
1145,181535,McDonald's,AZ,1.457142857142857
1180,158352,Five Guys,AZ,3.2835820895522385
1247,70641,Dairy Queen,AZ,3.1639344262295084
1308,19267,Burger King,AZ,1.2857142857142858
1322,145371,Burger King,AZ,2.2
1337,84785,Wendy's,AZ,2.0526315789473686
1356,47510,McDonald's,AZ,1.849056603773585
1409,146781,McDonald's,AZ,2.1
1449,78308,Dairy Queen,AZ,3.125
1457,42040,McDonald's,AZ,1.7142857142857142
1464,6144,Arby's,AZ,3.25
1488,143503,Wendy's,AZ,2.5185185185185186
1515,129939,Arby's,AZ,2.1904761904761907
1536,50445,Arby's,AZ,2.4782608695652173
1559,89855,Jack In the Box,AZ,4.0
1568,104607,Wendy's,AZ,2.176470588235294
1602,32825,Arby's,AZ,3.5263157894736836
1621,17005,Arby's,AZ,3.4545454545454546
1632,65745,Burger King,AZ,1.2666666666666666
1647,17958,Sonic Drive-In,AZ,2.782608695652174
1693,139104,Arby's,AZ,2.5454545454545454
1704,13914,Sonic Drive-In,AZ,2.1875
1720,97034,McDonald's,AZ,2.0
1795,45928,Arby's,AZ,3.0
1808,129833,Jack In the Box,AZ,3.2777777777777777
1826,36582,KFC,AZ,1.2432432432432432
1863,109862,Wendy's,AZ,2.4615384615384617
1876,36555,Burger King,AZ,1.6470588235294117
1893,84331,Jack in The Box,AZ,2.875
1901,78017,Arby's Roast Beef,AZ,2.333333333333333
1904,110711,McDonald's,AZ,2.0526315789473686
1923,47252,Wendy's,AZ,2.4615384615384617
1936,64917,Wendy's,AZ,2.3
1956,28327,Burger King,AZ,2.375
1972,70012,McDonald's,AZ,1.5384615384615383
1998,31949,Jack in the Box,AZ,1.5454545454545454
2009,38818,Wendy's,AZ,2.6
2059,24119,Burger King,AZ,2.0
2063,4751,Jack In the Box,AZ,1.8857142857142857
2098,152396,Jack In the Box,AZ,1.5625
2114,99648,Burger King,AZ,2.24
2139,93492,Jack in The Box,AZ,1.7272727272727273
2172,175191,Jack in the Box,AZ,2.1666666666666665
2178,63172,Burger King,AZ,2.25
2186,119851,McDonald's,AZ,2.5217391304347827
2209,174692,Jack in the Box,AZ,4.125
2217,17515,Arby's Roast Beef,AZ,3.6666666666666665
2220,64514,Wendy's,AZ,2.0
2253,122525,Arby's,AZ,3.0
2266,152180,McDonald's,AZ,2.0
2299,166250,Burger King,AZ,2.0
2302,66586,KFC,AZ,1.5714285714285714
2323,102633,Sonic Drive-In,AZ,2.555555555555556
2332,92467,Dairy Queen,AZ,1.1538461538461535
2345,36035,Dairy Queen,AZ,2.3793103448275863
2374,48719,Sonic Drive-In,AZ,2.4
2394,57956,McDonald's,AZ,1.6774193548387095
2456,83950,Jack In The Box,AZ,2.230769230769231
2482,96252,Arby's,AZ,3.8
2487,126907,Burger King,AZ,2.1
2507,135623,Dairy Queen,AZ,2.6206896551724137
2536,44321,Dairy Queen,AZ,2.1052631578947367
2574,21126,Jack in the Box,AZ,2.619047619047619
2595,14685,McDonald's,AZ,1.6666666666666667
2607,191885,McDonald's,AZ,2.131578947368421
2645,3511,KFC,AZ,1.7333333333333334
2660,98115,Jack In The Box,AZ,2.0
2667,56667,Sonic Drive-In,AZ,2.2222222222222223
2694,44268,KFC,AZ,1.35
2734,147493,Burger King,AZ,1.3928571428571428
2762,14101,McDonald's,AZ,2.1960784313725488
2813,34686,McDonald's,AZ,1.9761904761904765
2855,45751,McDonald's,AZ,1.4561403508771933
2912,9066,Wendy's,AZ,1.5348837209302326
2955,77723,McDonald's,AZ,2.6129032258064515
2986,53932,KFC,AZ,2.185185185185185
3013,47150,Wendy's,AZ,2.28
3038,164352,Popeyes Louisiana Kitchen,AZ,2.2686567164179103
3105,67210,Wendy's,AZ,2.12
3130,9042,Jack in the Box,AZ,1.9166666666666667
3142,165870,Sonic Drive-In,AZ,2.8846153846153846
3168,128284,Jack In the Box,AZ,1.1111111111111112
3177,70513,Popeyes Louisiana Kitchen,AZ,2.365853658536585
3218,14411,Dairy Queen,AZ,3.1714285714285717
3253,102791,Sonic Drive-In,AZ,1.8333333333333333
3265,160316,McDonald's,AZ,2.0
3297,183887,Sonic Drive-In,AZ,2.4375
3313,45223,Burger King,AZ,2.357142857142857
3327,108562,Dairy Queen,AZ,2.25
3355,83853,Five Guys,AZ,3.3974358974358974
3433,192596,Jack in The Box,AZ,2.208333333333333
3457,140593,McDonald's,AZ,2.333333333333333
3469,166370,McDonald's,AZ,2.676470588235294
3503,41846,Wendy's,AZ,1.75
3515,53899,McDonald's,AZ,1.6
3570,74474,Jack in the Box,AZ,1.8333333333333333
3594,149589,Burger King,AZ,1.9090909090909087
3605,129587,McDonald's,AZ,2.185185185185185
3632,131144,Jack In the Box,AZ,2.2
3642,47060,McDonald's,AZ,3.75
3646,161505,McDonald's,AZ,2.391304347826087
3669,47270,Jack in the box,AZ,2.0
3673,51340,Sonic Drive-In,AZ,4.142857142857143
3680,158765,Jack in the Box,AZ,2.625
3696,124842,McDonald's,AZ,1.4935064935064934
3773,47104,Jack In the Box,AZ,1.8
3798,73434,McDonald's,AZ,2.0
3808,23339,Arby's,AZ,2.333333333333333
3811,53796,Jack in the Box,AZ,2.0
3826,80522,Burger King,AZ,2.125
3834,65855,Jack In the Box,AZ,1.9230769230769231
3847,113221,Sonic Drive-In,AZ,2.1666666666666665
3859,5657,Dairy Queen,AZ,3.6
3864,129599,Jack in the Box,AZ,1.4117647058823528
3898,57650,Jack In the Box,AZ,2.4
3913,76785,Arby's,AZ,3.0
3921,171103,Jack in the Box,AZ,2.75
3933,43282,McDonald's,AZ,2.4166666666666665
3945,72366,Sonic Drive-In,AZ,2.375
3977,179436,Burger King,AZ,2.3043478260869565
4000,95227,McDonald's,AZ,1.1578947368421053
4019,174833,Jack in the Box,AZ,3.25
4035,14394,KFC,AZ,1.818181818181818
4068,104528,McDonald's,AZ,1.75
4072,17586,Popeyes Louisiana Kitchen,AZ,2.357142857142857
4114,172524,Burger King,AZ,2.333333333333333
4129,51831,PDQ,AZ,3.5479452054794516
4275,76332,McDonald's,AZ,2.4
4280,62256,McDonald's,AZ,1.7142857142857142
4308,135034,Burger King,AZ,1.6842105263157894
4327,31769,Sonic Drive-In,AZ,2.0303030303030303
4360,95061,McDonald's,AZ,2.6875
4376,44458,McDonald's,AZ,1.826086956521739
4399,101916,Jack in the Box,AZ,2.066666666666667
4414,19022,Wendy's,AZ,2.411764705882353
4431,106812,Sonic Drive-In,AZ,2.7
4451,77809,Arby's,AZ,2.142857142857143
4465,187355,Wendy's,AZ,2.875
4497,59744,Burger King,AZ,2.6111111111111107
4515,88535,Jack in the Box,AZ,2.357142857142857
4529,69866,Wendy's,AZ,1.7333333333333334
4544,93986,Arby's,AZ,3.8461538461538463
4557,112684,Sonic Drive-In,AZ,1.84
4582,104827,Burger King,AZ,1.4827586206896552
4611,123895,Jack In the Box,AZ,3.5
4627,131672,McDonald's,AZ,1.9375
4659,66491,Burger King,AZ,1.8888888888888888
4668,124080,Wendy's,AZ,2.130434782608696
4714,48645,Wendy's,AZ,3.3571428571428568
4728,81208,Burger King,AZ,1.6923076923076923
4741,169922,Burger King,AZ,1.75
4753,79489,Popeyes Louisiana Kitchen,AZ,1.8333333333333333
4831,183907,Jack In the Box,AZ,1.8636363636363635
4853,21867,Arby's,AZ,3.121212121212121
4886,10303,Burger King,AZ,2.4285714285714284
4893,104769,McDonald's,AZ,2.25
4901,111053,Dairy Queen,AZ,3.0434782608695654
4947,58883,Dairy Queen,AZ,2.0
4950,105067,Burger King,AZ,1.3333333333333333
4953,28372,McDonald's,AZ,1.64
4978,54410,McDonald's,AZ,3.6
4983,54735,Dairy Queen,AZ,2.6333333333333333
5013,121741,McDonald's,AZ,1.9411764705882355
5030,84351,Sonic Drive-In,AZ,1.8461538461538465
5056,155712,Sonic Drive-In,AZ,1.631578947368421
5075,180700,Five Guys,AZ,3.4821428571428568
5131,99624,Jack in the Box,AZ,1.0
5136,102335,Wendy's,AZ,2.358974358974359
5175,134785,Jack In the Box,AZ,2.2
5205,58139,Burger King,AZ,2.75
5213,18081,Arby's,AZ,3.1666666666666665
5225,58826,Wendy's,AZ,2.0
5228,114133,McDonald's,AZ,2.230769230769231
5241,106917,Dairy Queen Orange Julius,AZ,1.0
5245,7244,Burger King,AZ,1.8888888888888888
5263,121675,McDonald's,AZ,3.0
5266,30818,Sonic Drive-In,AZ,2.84
5291,120801,Burger King,AZ,1.2857142857142858
5305,147147,McDonald's,AZ,2.071428571428572
5319,76131,McDonald's,AZ,1.0384615384615383
5345,57407,McDonald's,AZ,2.421052631578948
5364,33780,Wendy's,AZ,1.7272727272727273
5386,43330,Burger King,AZ,2.7142857142857144
5393,188276,Sonic Drive-In,AZ,2.333333333333333
5414,103485,Burger King,AZ,2.5
5422,58068,Five Guys,AZ,3.2888888888888888
5467,96404,McDonald's,AZ,3.0
5481,24612,Burger King,AZ,2.333333333333333
5487,38853,McDonald's,AZ,1.6923076923076923
5513,160783,Burger King,AZ,2.8823529411764706
5530,93203,Jack in the Box,AZ,2.0
5537,175138,Dairy Queen,AZ,4.0
5540,15698,Dairy Queen,AZ,3.0789473684210527
5578,89729,Wendy's,AZ,2.75
5590,170962,McDonald's,AZ,1.25
5594,41291,Jack in the Box,AZ,2.6923076923076925
5607,182004,Arby's,AZ,2.333333333333333
5631,88674,Jack in the Box,AZ,1.4285714285714286
5645,104844,McDonald's,AZ,1.818181818181818
5667,99574,McDonald's,AZ,3.2
5687,176527,Sonic Drive-In,AZ,3.2307692307692313
5700,90747,Dairy Queen,AZ,4.333333333333333
5706,84289,Wendy's Old Fashioned Hamburgers,AZ,1.75
5710,30530,Jack In the Box,AZ,1.0833333333333333
5722,98113,McDonald's,AZ,2.0
5727,132720,Sonic Drive-In,AZ,1.7564102564102564
5805,89740,Popeyes Louisiana Kitchen,AZ,2.6451612903225805
5867,116509,KFC,AZ,1.75
5871,76687,Dairy Queen,AZ,2.7115384615384617
5923,156549,Wendy's,AZ,2.7222222222222223
5941,182523,McDonald's,AZ,2.0
5949,41590,McDonald's,AZ,2.216216216216216
5986,54420,Jack in the Box,AZ,2.333333333333333
6004,164793,Arby's,AZ,2.4285714285714284
6025,28388,Burger King,AZ,1.3703703703703705
6052,94916,Wendy's,AZ,1.9629629629629632
6079,60563,KFC,AZ,1.4444444444444444
6097,47302,Dairy Queen Orange Julius,AZ,2.8181818181818183
6108,14028,Dairy Queen - Orange Julius,AZ,2.617647058823529
6142,2878,McDonald's,AZ,4.0
6145,140384,McDonald's,AZ,2.5384615384615383
6171,67535,Arby's,AZ,3.1666666666666665
6183,8824,McDonald's,AZ,1.807692307692308
6209,19196,Popeyes Louisiana Kitchen,AZ,1.5853658536585369
6250,70019,Burger King,AZ,1.8333333333333333
6268,20169,Jack in the Box,AZ,1.7777777777777777
6277,134941,Wendy's,AZ,1.9230769230769231
6290,59095,Dairy Queen,AZ,2.260869565217391
6313,15440,Popeyes Louisiana Kitchen,AZ,2.3947368421052637
6351,141556,Jack In the Box,AZ,1.1111111111111112
6360,154072,Burger King,AZ,1.7368421052631582
6379,33240,McDonald's,AZ,1.5
6385,95834,McDonald's,AZ,1.2708333333333333
6433,85777,Arby's,AZ,3.8333333333333335
6445,58374,Jack in the Box,AZ,2.0
6463,14634,McDonald's,AZ,1.1666666666666667
6475,68148,Burger King,AZ,1.0
6485,70717,Popeyes Louisiana Kitchen,AZ,1.88
6510,88998,Jack In the Box,AZ,1.9411764705882355
6527,160820,Jack In the Box,AZ,1.5833333333333333
6551,58480,Jack In the Box,AZ,1.9285714285714288
6579,122222,Wendy's,AZ,2.1132075471698117
6632,179201,Wendy's,AZ,2.48
6657,106057,KFC,AZ,1.4444444444444444
6675,16453,McDonald's,AZ,1.5714285714285714
6717,188779,Dairy Queen,AZ,2.9473684210526314
6736,188366,McDonald's,AZ,1.8571428571428568
6771,187302,Popeyes Louisiana Kitchen,AZ,3.4385964912280698
6828,163912,Burger King,AZ,1.9545454545454544
6850,6142,Wendy's,AZ,2.4347826086956523
6873,87505,McDonald's,AZ,1.0
6880,107104,Jack in the Box,AZ,1.625
6896,73514,Burger King,AZ,1.4117647058823528
6913,16730,Jack in the Box,AZ,1.5
6929,170485,Arby's,AZ,2.9
6949,19851,McDonald's,AZ,2.0689655172413794
6978,65697,Sonic Drive-In,AZ,2.0
7006,152141,McDonald's,AZ,1.6666666666666667
7027,55202,McDonald's,AZ,1.9714285714285715
7062,118499,McDonald's,AZ,2.125
7086,42570,McDonald's,AZ,1.875
7126,185210,Five Guys,AZ,3.4505494505494507
7217,27145,Jack in the Box,AZ,2.0
7231,132723,Jack in the Box,AZ,1.84
7256,131103,McDonald's,AZ,1.6944444444444444
7292,47948,McDonald's,AZ,2.458333333333333
7316,55325,Burger King,AZ,1.6666666666666667
7325,145212,Sonic Drive-In,AZ,2.2592592592592595
7352,100302,McDonald's,AZ,2.0
7364,52352,Burger King,AZ,2.25
7376,69884,Jack In the Box,AZ,2.75
7404,6651,Sonic Drive-In,AZ,2.3728813559322037
7463,63262,McDonald's,AZ,1.5
7477,55344,McDonald's,AZ,1.951219512195122
7518,55890,Five Guys,AZ,3.3493975903614457
7601,89290,McDonald's,AZ,1.6666666666666667
7625,92821,McDonald's,AZ,1.475409836065574
7686,131730,McDonald's,AZ,1.7368421052631582
7705,179056,Wendy's,AZ,3.0869565217391304
7728,8089,Dairy Queen,AZ,4.0
7733,171080,McDonald's,AZ,1.9230769230769231
7759,155409,Jack in the Box,AZ,2.2222222222222223
7768,39923,Jack In the Box,AZ,2.8461538461538463
7794,87469,Burger King,AZ,1.2727272727272727
7805,129123,Dairy Queen,AZ,3.0
7812,80740,Jack in the Box,AZ,2.0
7822,179103,Sonic Drive-In,AZ,2.3125
7838,36335,McDonald's,AZ,2.147058823529412
7872,130005,McDonald's,AZ,2.046511627906977
7915,162050,McDonald's,AZ,2.6666666666666665
7918,89194,Jack in The Box,AZ,2.090909090909091
7929,74268,McDonald's,AZ,2.176470588235294
7946,69302,Sonic Drive-In,AZ,1.75
7990,192073,McDonald's,AZ,1.4137931034482758
8019,171933,McDonald's,AZ,1.0625
8035,192213,Jack in the Box,AZ,2.0
8041,141588,Wendy's,AZ,2.75
8049,32406,McDonald's,AZ,1.2307692307692308
8062,151203,KFC,AZ,1.870967741935484
8093,34099,Dairy Queen,AZ,4.4
8098,48414,McDonald's,AZ,1.8285714285714283
8133,2460,McDonald's,AZ,1.0
8153,170873,Burger King,AZ,2.0625
8169,154972,McDonald's,AZ,2.0
8178,89414,Arby's,AZ,3.0
8192,114550,Arby's,AZ,3.8
8202,120191,McDonald's,AZ,1.8
8207,85394,Burger King,AZ,2.272727272727273
8218,10550,Popeyes Louisiana Kitchen,AZ,2.0769230769230766
8270,79570,Burger King,AZ,2.933333333333333
8285,88008,McDonald's,AZ,1.3611111111111112
8321,47127,Arby's,AZ,3.7142857142857135
8342,52997,KFC,AZ,1.7118644067796611
8401,14137,Burger King,AZ,2.375
8417,49616,McDonalds,AZ,1.5223880597014925
8484,68812,McDonald's,AZ,2.1724137931034484
8513,78529,Burger King,AZ,1.8571428571428568
8520,69831,McDonald's,AZ,2.0930232558139537
8563,148705,Wendy's,AZ,2.136363636363636
8585,43972,Dairy Queen,AZ,3.102564102564102
8624,175697,Jack in the Box,AZ,2.083333333333333
8636,50989,Wendy's,AZ,2.2666666666666666
8666,157482,KFC,AZ,1.4
8701,169984,McDonald's,AZ,2.833333333333333
8707,25823,McDonald's,AZ,2.235294117647059
8741,71971,Five Guys Burgers and Fries,AZ,3.7857142857142856
8755,64356,Jack In the Box,AZ,2.5454545454545454
8766,85140,Burger King,AZ,2.0
8783,162416,McDonald's,AZ,2.75
8787,118593,Wendy's,AZ,2.096774193548387
8818,189966,Dairy Queen,AZ,2.642857142857143
8832,187849,Popeyes Louisiana Kitchen,AZ,2.676470588235294
8900,62019,Burger King,AZ,2.0
8931,123181,Jack In the Box,AZ,2.5
8937,101257,McDonald's,AZ,1.9268292682926829
8978,162959,McDonald's,AZ,1.6
9023,169220,McDonald's,AZ,1.4117647058823528
9040,104534,Sonic Drive-In,AZ,2.2448979591836733
9138,182652,Jack in the Box,AZ,3.0
9145,131950,McDonald's,AZ,1.7454545454545454
9200,92365,KFC,AZ,1.1153846153846154
9226,121443,KFC,AZ,1.4716981132075468
9279,192133,KFC,AZ,1.5666666666666669
9309,10354,Sonic Drive-In,AZ,1.7647058823529411
9326,128672,Burger King,AZ,2.4285714285714284
9333,41637,McDonald's,AZ,1.5333333333333334
9348,101603,Jack in the Box,AZ,2.8666666666666667
9363,2776,Sonic Drive-In,AZ,2.5
9373,43387,Jack In The Box,AZ,3.0
9393,154472,McDonald's,AZ,1.2926829268292683
9475,9404,McDonald's,AZ,2.026315789473684
9513,26344,Wendy's,AZ,2.294117647058824
9547,28862,McDonald's,AZ,1.75
9551,62950,Jack in the Box,AZ,2.4
9556,173125,Dairy Queen,AZ,3.272727272727273
9567,121316,Jack In the Box,AZ,2.571428571428572
9574,129388,Jack in the Box,AZ,2.0476190476190474
9595,140583,Dairy Queen,AZ,1.6666666666666667
9625,158512,Arby's,AZ,3.0
9647,135030,Sonic Drive-In,AZ,1.5194805194805194
9724,188212,Burger King,AZ,2.3846153846153846
9737,131975,Jack in the Box,AZ,2.2666666666666666
9752,32837,Dairy Queen,AZ,2.833333333333333
9770,8797,Wendy's,AZ,3.1818181818181817
9781,104084,Burger King,AZ,2.5
9791,158271,McDonald's,AZ,1.5
9833,109401,Dairy Queen,AZ,1.625
9849,89963,McDonald's,AZ,1.9523809523809523
9870,159734,McDonald's,AZ,1.959183673469388
9919,99499,Burger King,AZ,1.947368421052632
9938,50867,Jack in the Box,AZ,1.55
9958,166501,Burger King,AZ,1.4642857142857142
9986,99892,Wendy's,AZ,2.05
10006,27030,KFC,AZ,1.5
10030,148352,Wendy's,AZ,1.3888888888888888
10048,48023,Popeyes Louisiana Kitchen,AZ,2.7058823529411766
10082,18391,KFC,AZ,1.947368421052632
10120,6253,Burger King,AZ,1.8235294117647056
10154,60619,Wendy's,AZ,1.4285714285714286
10189,78993,Wendy's,AZ,1.8695652173913044
10212,115031,Burger King,AZ,2.095238095238096
10233,148326,Five Guys,AZ,3.333333333333333
10281,30476,McDonald's,AZ,2.25
10297,139297,McDonald's,AZ,1.5
10301,125313,Wendy's,AZ,2.0
10311,9452,Sonic Drive-In,AZ,3.0
10333,62684,McDonald's,AZ,2.0869565217391304
10356,169422,DQ Grill & Chill Restaurant,AZ,2.9
10376,368,McDonald's,AZ,2.066666666666667
10406,46257,Burger King,AZ,3.1
10416,100996,McDonald's,AZ,1.6666666666666667
10419,133231,Burger King,AZ,2.0588235294117645
10436,150031,McDonald's,AZ,1.6590909090909092
10480,176023,KFC,AZ,1.7234042553191489
10527,60300,Popeyes Louisiana Kitchen,AZ,2.6923076923076925
10566,58522,Jack in the Box,AZ,3.0
10578,91985,Wendy's,AZ,1.5652173913043481
10601,22207,Burger King,AZ,2.0
10618,145550,Arby's,AZ,1.9090909090909087
10629,7449,Burger King,AZ,1.875
10645,136130,McDonald's,AZ,1.3829787234042554
10692,73194,Burger King,AZ,1.7666666666666666
10722,160809,Sonic Drive-In,AZ,2.142857142857143
10785,101577,McDonald's,AZ,1.44
10810,175194,KFC,AZ,1.3863636363636365
10854,44535,McDonald's,AZ,2.6666666666666665
10857,79900,McDonald's,AZ,2.1666666666666665
10863,98089,Popeyes Louisiana Kitchen,AZ,2.0
10926,103136,KFC,AZ,1.9574468085106385
10973,3982,KFC / A&W,AZ,1.625
10981,68436,Sonic Drive-In,AZ,1.7631578947368418
11019,96905,McDonald's,AZ,1.4210526315789471
11038,5393,Five Guys,AZ,3.1791044776119404
11172,104832,Dairy Queen,AZ,2.333333333333333
11175,74077,Sonic Drive-In,AZ,2.5172413793103448
11204,145861,Dairy Queen,AZ,3.5454545454545454
11215,174006,McDonald's,AZ,1.4761904761904765
11257,11752,Burger King,AZ,2.375
11273,153422,Mcdonalds,AZ,1.0
11278,78268,Burger King,AZ,2.125
11294,140104,Jack in The Box,AZ,2.571428571428572
11301,147482,Sonic Drive-In,AZ,2.3846153846153846
11327,143108,KFC,AZ,1.8695652173913044
11373,52820,McDonald's,AZ,2.3823529411764706
11407,136626,McDonald's,AZ,1.8
11412,68354,Jack In The Box,AZ,2.6
11422,152442,Burger King,AZ,2.0
11439,170427,Burger King,AZ,2.083333333333333
11451,122488,Five Guys,AZ,3.3191489361702127
11545,167964,KFC,AZ,1.7692307692307692
11558,116439,Arby's,AZ,3.4736842105263164
11577,29240,Jack in the Box,AZ,1.3333333333333333
11595,84015,Burger King,AZ,2.2916666666666665
11619,67578,Burger King,AZ,2.555555555555556
11628,132117,Burger King,AZ,1.7
11648,142207,Wendy's,AZ,2.4347826086956523
11671,100677,McDonald's,AZ,2.0
11702,127509,Dairy Queen Grill & Chill,AZ,2.0
11714,176337,Dairy Queen,AZ,2.136363636363636
11758,188774,Jack in the Box,AZ,2.0434782608695654
11781,139284,Jack In the Box,AZ,2.625
11797,159711,McDonald's,AZ,1.5333333333333334
11842,151658,McDonald's,AZ,1.5
11854,25213,Burger King,AZ,1.4545454545454546
11865,10848,Burger King,AZ,2.142857142857143
11886,6908,Arby's Roast Beef,AZ,2.5
11892,192565,McDonald's,AZ,1.8571428571428568
11934,90778,Arby's,AZ,3.2142857142857144
11948,1267,Sonic Drive-In,AZ,1.7959183673469388
11997,118933,Burger King,AZ,3.3157894736842106
12016,189442,Wendy's,AZ,2.25
12036,99804,Arby's,AZ,2.5
12052,109606,Sonic Drive-In,AZ,2.727272727272727
12063,51722,Dairy Queen,AZ,3.0
12066,90057,Wendy's,AZ,2.25
12086,162492,KFC,AZ,2.121212121212121
12119,153088,Burger King,AZ,2.4
12124,160841,Dairy Queen,AZ,2.32
12174,158333,Five Guys,AZ,3.496894409937888
12335,71186,Burger King,AZ,2.272727272727273
12346,11618,Dairy Queen,AZ,2.571428571428572
12388,71982,Arby's,AZ,2.75
12392,8694,McDonald's,AZ,1.1666666666666667
12410,71569,Jack in the Box,AZ,2.4285714285714284
12424,180353,Arby's,AZ,2.875
12432,137637,Five Guys,AZ,3.5384615384615383
12445,117087,Five Guys,AZ,3.3877551020408165
12494,65499,McDonald's,AZ,2.098360655737705
12555,190902,KFC,AZ,1.195121951219512
12596,4016,Dairy Queen,AZ,2.7777777777777777
12605,78036,Burger King,AZ,1.9333333333333331
12620,89318,McDonald's,AZ,1.8928571428571428
12648,67034,KFC,AZ,1.7428571428571429
12683,58857,McDonald's,AZ,1.6341463414634143
12724,67468,Jack In the Box,AZ,2.333333333333333
12730,39041,Burger King,AZ,2.0588235294117645
12747,1943,Jack in The Box,AZ,2.294117647058824
12764,108580,Jack in the Box,AZ,2.4285714285714284
12785,30955,Wendy's,AZ,2.1777777777777776
