,Unnamed: 0,business_id,name,city,state,postal_code,latitude,longitude,is_open,categories,attributes.GoodForKids,attributes.NoiseLevel,attributes.RestaurantsDelivery,attributes.GoodForMeal,attributes.Alcohol,attributes.Caters,attributes.WiFi,attributes.RestaurantsTakeOut,attributes.BusinessAcceptsCreditCards,attributes.Ambience,attributes.BusinessParking,attributes.RestaurantsTableService,attributes.RestaurantsGoodForGroups,attributes.OutdoorSeating,attributes.HasTV,attributes.BikeParking,attributes.RestaurantsReservations,attributes.RestaurantsPriceRange2,attributes.RestaurantsAttire,attributes.BusinessAcceptsBitcoin,attributes.ByAppointmentOnly,attributes.AcceptsInsurance,attributes.Music,attributes.GoodForDancing,attributes.CoatCheck,attributes.HappyHour,attributes.BestNights,attributes.WheelchairAccessible,attributes.DogsAllowed,attributes.BYOBCorkage,attributes.DriveThru,attributes.Smoking,attributes.AgesAllowed,attributes.HairSpecializesIn,attributes.Corkage,attributes.BYOB,attributes.DietaryRestrictions,attributes.Open24Hours,attributes.RestaurantsCounterService,hours.Monday,hours.Wednesday,hours.Thursday,hours.Friday,hours.Saturday,hours.Sunday,hours.Tuesday,order,circle
1916,1917,172925,Wendy's,Calgary,AB,T2L 1K8,51.08707336,-114.1299348,1,"Restaurants, Burgers, Fast Food",TRUE,,FALSE,,'none',,'free',TRUE,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,2,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,124142,0
1932,1933,73583,Wendy's,Calgary,AB,T2Y 3W6,50.8992791,-114.0656575,1,"Fast Food, Burgers, Restaurants",TRUE,,FALSE,,,,'free',TRUE,,"{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",,,TRUE,,TRUE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,125119,0
2672,257,159483,Wendy's,Tempe,AZ,85284,33.3341677,-111.9466831,1,"Fast Food, Burgers, Restaurants",TRUE,,FALSE,,,,,TRUE,TRUE,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,0,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,4334,0
2830,415,25526,Wendy's Old Fashioned Hamburgers,Tempe,AZ,85281,33.4139365,-111.9267488,0,"Restaurants, Burgers",TRUE,u'quiet',FALSE,,u'none',FALSE,u'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,TRUE,TRUE,,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,6852,1
3076,661,84785,Wendy's,Phoenix,AZ,85017,33.5245019,-112.1321282,1,"Fast Food, Restaurants, Burgers",TRUE,,FALSE,,'none',,,FALSE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,11629,1
3171,756,143503,Wendy's,Tempe,AZ,85283,33.3778572,-111.9607123,1,"Fast Food, Restaurants, Burgers",TRUE,u'average',FALSE,,u'none',FALSE,u'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,10:0-0:0,10:0-0:0,10:0-0:0,10:0-1:0,10:0-1:0,10:0-0:0,10:0-0:0,13385,1
3266,851,104607,Wendy's,Phoenix,AZ,85022,33.638116,-112.0660575,1,"Fast Food, Restaurants, Burgers",TRUE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}",u'none',FALSE,u'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,TRUE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,15177,0
3502,1087,109862,Wendy's,Gilbert,AZ,85233,33.3368087,-111.8062979,1,"Fast Food, Burgers, Restaurants",TRUE,u'average',FALSE,,u'none',FALSE,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,19066,0
3570,1155,47252,Wendy's,Phoenix,AZ,85053,33.6257732,-112.1331944,1,"Burgers, Restaurants, Fast Food",TRUE,,FALSE,,,,'free',TRUE,TRUE,,,,TRUE,FALSE,TRUE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,19984,0
3598,1183,64917,Wendy's,Glendale,AZ,85306,33.6117409,-112.1853563,1,"Restaurants, Bakeries, Burgers, Food, Fast Food, American (New)",TRUE,u'average',FALSE,,u'none',FALSE,u'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,12:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,20522,0
3660,1245,38818,Wendy's,Phoenix,AZ,85034,33.43479774,-112.013731,1,"Fast Food, American (Traditional), Restaurants, Burgers",TRUE,'quiet',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': True}",u'none',FALSE,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,u'casual',,,,,,,,,,,,0,,,,,,,,,5:0-20:0,5:0-20:0,5:0-20:0,5:0-20:0,5:0-20:0,5:0-20:0,5:0-20:0,21571,0
3912,1497,64514,Wendy's,Tempe,AZ,85283,33.3787165,-111.9233947,1,"Restaurants, Fast Food, Burgers",TRUE,u'average',FALSE,,u'none',FALSE,'free',TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,25844,1
4418,2003,9066,Wendy's,Phoenix,AZ,85012,33.4945018,-112.0689219,1,"Restaurants, Burgers, Fast Food",TRUE,u'average',FALSE,,u'none',FALSE,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,34139,0
4450,2035,47150,Wendy's,Avondale,AZ,85323,33.4567713,-112.2735726,1,"Fast Food, Restaurants, Burgers",TRUE,'average',FALSE,,'none',FALSE,'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,34723,0
4506,2091,67210,Wendy's,Phoenix,AZ,85032,33.6400518,-111.9805444,1,"Food, Restaurants, Burgers, Fast Food",TRUE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,'free',TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,35673,0
4889,2474,41846,Wendy's,Scottsdale,AZ,85251,33.507765,-111.8892767,1,"Burgers, Restaurants, Fast Food, American (Traditional)",TRUE,,FALSE,,'none',FALSE,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,TRUE,TRUE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,42440,0
5453,3038,19022,Wendy's,Phoenix,AZ,85037,33.5079809,-112.2733763,1,"Restaurants, Burgers, Fast Food",TRUE,,FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",'none',,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,51685,0
5527,3112,187355,Wendy's,Chandler,AZ,85224,33.3055453,-111.8620287,1,"Burgers, Restaurants, Fast Food",TRUE,'quiet',FALSE,,'none',FALSE,'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,TRUE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,10:0-0:30,10:0-0:30,10:0-0:30,10:0-0:30,10:0-0:30,10:0-0:30,10:0-0:30,52816,0
5593,3178,69866,Wendy's,Mesa,AZ,85206,33.38295537,-111.742682,1,"Fast Food, Burgers, American (Traditional), Restaurants",TRUE,u'loud',FALSE,,'none',,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,53712,1
5701,3286,124080,Wendy's,Phoenix,AZ,85054,33.65614,-111.929971,1,"Fast Food, Burgers, Restaurants",TRUE,'average',FALSE,,u'none',FALSE,u'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,55368,0
5754,3339,48645,Wendy's,Tempe,AZ,85282,33.3922533,-111.9778197,1,"Fast Food, Restaurants, Burgers",TRUE,'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",'none',FALSE,'no',TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",,,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,56362,0
6097,3682,102335,Wendy's,Scottsdale,AZ,85258,33.5709334,-111.8875721,1,"Fast Food, Burgers, Restaurants",TRUE,'quiet',FALSE,,,,,TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,TRUE,,,,,,,,,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,62033,0
6149,3734,58826,Wendy's,Glendale,AZ,85302,33.5677706,-112.1520291,0,"Restaurants, Burgers",TRUE,u'average',FALSE,,u'none',,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,62881,0
6325,3910,33780,Wendy's,Tempe,AZ,85284,33.3494363,-111.9672594,1,"Restaurants, Burgers, Fast Food",TRUE,u'quiet',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",'none',FALSE,'free',TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,66171,1
6516,4101,89729,Wendy's,Phoenix,AZ,85031,33.4946485,-112.1716407,1,"Restaurants, Burgers, Fast Food",TRUE,u'average',FALSE,,u'none',FALSE,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,9:0-1:0,9:0-1:0,9:0-1:0,9:0-2:0,9:0-2:0,9:0-1:0,9:0-1:0,69610,0
6633,4218,84289,Wendy's Old Fashioned Hamburgers,Tempe,AZ,85284,33.33478568,-111.9126933,0,"Fast Food, Restaurants",TRUE,u'average',FALSE,,u'none',FALSE,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,FALSE,,,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,6:0-1:0,6:0-1:0,6:0-1:0,6:30-1:0,6:0-1:0,6:0-1:0,6:0-1:0,71772,0
6727,4312,156549,Wendy's,Gilbert,AZ,85296,33.3220952,-111.6894785,1,"Restaurants, Fast Food, Burgers",TRUE,,FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,TRUE,TRUE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,73534,0
6816,4401,94916,Wendy's,Glendale,AZ,85308,33.652296,-112.2350951,1,"Restaurants, Fast Food, Burgers",TRUE,,FALSE,,u'none',,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,74765,0
7004,4589,134941,Wendy's,Peoria,AZ,85345,33.5813434,-112.2359156,1,"Burgers, Restaurants, Fast Food",TRUE,'average',FALSE,,'none',FALSE,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,FALSE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,77971,0
7230,4815,122222,Wendy's,Goodyear,AZ,85395,33.459321,-112.3587548,1,"Fast Food, Restaurants, Burgers",TRUE,u'quiet',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': False}",u'none',FALSE,u'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,TRUE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,81925,0
7259,4844,179201,Wendy's,Phoenix,AZ,85048,33.3047972,-111.9782622,1,"Restaurants, Fast Food, Burgers, Food",TRUE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,u'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,82472,0
7349,4934,6142,Wendy's,Phoenix,AZ,85034,33.4352284,-111.9978273,1,"Restaurants, Fast Food, Burgers",TRUE,u'loud',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",u'none',FALSE,'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,FALSE,FALSE,FALSE,FALSE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,83948,0
7968,5553,179056,Wendy's,Phoenix,AZ,85006,33.4660591,-112.0306798,1,"Restaurants, Fast Food, Burgers",TRUE,,FALSE,,'none',,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,TRUE,FALSE,TRUE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,94310,0
8161,5746,141588,Wendy's,Fountain Hills,AZ,85268,33.5693512,-111.7092438,1,"Restaurants, Fast Food, Burgers, Food",TRUE,,FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',,'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,FALSE,,,FALSE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,97219,0
8462,6047,148705,Wendy's,Phoenix,AZ,85044,33.3203496,-111.977843,1,"Restaurants, Burgers, Fast Food",TRUE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',,'free',TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,102218,0
